#file,onset,offset,#item,sequence,syllables,type,place,vowel,position,speaker,question,new,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24
geo020s08a0016v02,0.861249,0.990249,19,t>a,2,ejective,coronal,a,initial,s08,answer,echo,5.7854,8.5702,7.3498,3.5974,-4.799,-23.8127,-43.1287,-43.0188,-10.9251,1.8105,12.4007,13.1436,-3.4513,-29.9258,0.9693,-15.625,22.5704,35.9007,41.4863,30.9493,20.1223,5.8516,-14.2176,-21.7295,1.7048
geo020s08a0019v01,0.611026,0.740026,21,k>a,3,ejective,velar,a,initial,s08,question,new,-17.9071,-16.4353,-13.1694,-21.7837,-8.2089,2.5395,7.0242,-0.7977,-8.1928,-17.7918,-25.0511,-30.4086,-24.4548,-15.3364,-3.4908,1.4238,7.4885,11.9536,8.3001,4.4539,-8.2639,4.2657,34.0041,54.9449,68.217
geo020s08a0021v01,0.776368,0.905368,22,k>a,3,ejective,velar,a,initial,s08,question,new,5.1604,-9.039,-20.8933,-25.7634,-19.0101,-5.2421,10.431,18.8531,17.1623,13.7143,8.8833,2.7886,-0.3167,-4.7692,-7.2753,-8.616,-4.3069,-1.7729,4.8774,6.1633,7.862,3.115,-2.4866,-6.1764,-7.8409
geo020s08a0023v01,0.756105,0.885105,23,p>a,2,ejective,labial,a,initial,s08,question,new,6.4137,6.54,3.8555,0.854,-2.9411,-5.1073,-1.2605,-0.253,-3.7678,-14.3046,-30.4518,-24.7141,4.2031,32.3686,41.5602,33.0306,13.4565,-10.0824,-28.3767,-30.613,-15.2392,8.8747,30.8753,37.9542,28.247
geo020s08a0023v02,0.758793,0.887793,24,po,3,pulmonic,labial,o,initial,s08,answer,new,-13.2357,-25.3771,-24.2466,-14.6786,-10.5812,-5.2583,1.4817,5.0617,9.3205,9.3119,5.0344,-1.1547,-4.8555,-3.1804,-1.867,-1.5083,3.2832,8.2631,5.6576,7.9909,9.4037,6.0743,2.2894,-4.4711,-5.9231
geo020s08a0024v01,0.65562,0.78462,25,po,3,pulmonic,labial,o,initial,s08,question,new,9.8347,8.8016,6.6852,0.4256,-3.3511,-3.7812,-3.862,-6.4992,-8.2948,-7.9454,-8.8654,-1.7113,-2.868,-3.5113,-6.3663,-6.6729,-3.7096,0.9399,3.9395,3.9517,6.5962,4.8883,3.2651,1.8309,5.526
geo020s08a0024v02,0.614861,0.743861,26,po,3,pulmonic,labial,o,initial,s08,answer,echo,-9.341,-8.1666,-4.7927,-8.4057,-16.7635,-14.9143,5.8609,30.8235,34.9228,23.5287,6.9625,-7.8091,-23.1742,-31.3685,-24.4499,-5.15,13.5182,40.8301,42.7615,24.0028,-7.8405,-27.9133,-39.1406,-24.6463,-4.4973
geo020s08a0025v02,0.73063,0.85963,27,t>i,3,ejective,coronal,i,initial,s08,answer,new,21.8728,2.9053,-10.2223,-28.4662,-40.3201,-39.3815,-16.5042,18.185,46.9467,51.4568,32.3922,4.9236,-22.873,-36.9409,-33.4832,-13.9757,6.4794,17.0274,16.7816,14.5855,13.3602,17.0662,16.5386,11.2402,3.2421
geo020s08a0026v01,0.804971,0.933971,28,t>i,3,ejective,coronal,i,initial,s08,question,new,15.9475,4.4514,-4.7982,-8.4576,-9.1971,-11.1241,-11.9768,-13.5621,-11.814,-7.3527,-3.8219,2.5253,6.1197,8.6238,9.1153,10.7094,10.8468,12.4782,4.3705,-1.4756,-3.4326,-4.9917,-4.6581,-7.228,-5.2711
geo020s08a0026v02,0.684933,0.813933,29,t>i,3,ejective,coronal,i,initial,s08,answer,echo,-12.4158,-14.7269,-15.4469,-17.4762,-15.9296,-10.6258,0.3044,9.8948,16.8611,15.9446,12.7552,10.4833,3.7332,-0.3705,-1.3271,1.4923,2.5773,0.0813,-6.2803,-5.1877,-2.7083,-1.0051,-0.9413,-0.2306,1.0945
geo020s08a0027v01,0.80251,0.93151,30,k>e,2,ejective,velar,e,initial,s08,question,new,10.0126,3.1134,-5.7775,-4.8603,-2.2914,-5.2389,-4.4331,-5.3939,-4.118,-6.5456,-4.1642,-0.9634,2.8528,2.5444,4.7014,3.1233,1.8452,2.5886,2.93,5.4673,-0.0882,-1.0082,-1.402,-4.7297,-4.5153
geo020s08a0029v02,0.794526,0.923526,31,p>i,3,ejective,labial,i,initial,s08,answer,new,6.4512,4.5583,1.1774,-3.9036,-7.8251,-9.1863,-8.0112,-5.0838,-0.5459,3.1489,4.924,3.9543,-0.1315,0.6454,0.4805,-1.3423,0.9607,-1.8897,-11.5072,-17.253,-8.4407,13.751,31.7728,28.9322,16.463
geo020s08a0030v01,0.946657,1.075657,32,p>i,3,ejective,labial,i,initial,s08,question,new,-45.0853,-35.7271,-20.6983,2.0483,10.6987,13.4749,8.7688,6.7009,4.7585,4.5289,1.2404,-5.1737,-3.0871,-0.7546,-2.1156,-2.2832,-0.9157,0.5378,0.7385,-1.773,-4.431,-6.2696,-4.5199,-3.1134,0.7202
geo020s08a0030v02,0.824034,0.953034,33,p>i,3,ejective,labial,i,initial,s08,answer,echo,28.2431,28.7936,22.8448,10.4847,-7.458,-20.9736,-22.7393,-16.5046,-5.7995,4.3001,5.9261,7.4445,8.6105,10.9185,8.6439,-3.9299,-16.1644,-21.6847,-21.4413,-19.2674,-14.2496,-10.3314,-4.9941,0.1837,1.1048
geo020s08a0033v02,0.734091,0.863091,34,k>a,3,ejective,velar,a,initial,s08,answer,new,41.1447,37.5774,14.6225,-10.7769,-32.4923,-42.1952,-32.9429,-13.7814,5.2364,12.588,11.3932,8.8735,10.9612,10.0761,9.237,7.424,2.2304,-5.8454,-9.1114,-23.1871,-15.2109,-3.2437,2.1946,5.2185,7.8171
geo020s08a0034v01,0.42487,0.55387,35,k>a,3,ejective,velar,a,initial,s08,question,new,40.6778,45.119,38.6003,30.8974,22.9214,16.506,3.0298,-8.8383,-14.414,-17.9439,-28.8018,-38.4732,-41.3425,-29.833,-16.1184,-0.2388,15.9489,30.5737,25.4322,14.5389,14.0237,20.2541,26.6041,82.8936,-40.8281
geo020s08a0034v02,0.596411,0.725411,36,k>a,3,ejective,velar,a,initial,s08,answer,echo,-16.82,6.4083,22.3558,18.6284,4.9279,-7.903,-20.0643,-33.3211,-40.7654,-28.9414,2.6694,36.4073,52.4837,47.1393,19.1855,-12.9378,-34.063,-35.2647,-33.3259,-23.741,-17.2834,-10.7471,-4.6,2.1313,14.3331
geo020s08a0039v01,0.74836,0.87736,39,k>a,3,ejective,velar,a,initial,s08,question,new,9.4488,6.0078,2.8534,-7.0199,-9.1528,-11.1117,-6.7096,-5.8133,-5.6137,-2.6188,0.739,-1.0522,1.5138,0.5813,8.463,9.0016,11.7072,6.3219,-71.9892,-24.8322,2.858,14.4808,20.4162,27.2927,24.6274
geo020s08a0041v02,0.73725,0.86625,40,t>e,3,ejective,coronal,e,initial,s08,answer,new,-17.2909,-13.9579,1.0609,20.2584,28.4155,24.4136,14.2232,-1.9237,-21.3416,-28.7215,-19.756,3.8832,16.7177,17.2139,3.8938,-10.2474,-19.8406,-23.8985,-16.5163,-2.7107,9.7412,19.727,15.0772,7.0388,-1.0932
geo020s08a0042v01,0.94241,1.07141,41,t>e,3,ejective,coronal,e,initial,s08,question,new,3.0418,11.0354,10.4679,6.9318,3.6886,4.65,5.0261,0.9419,-2.172,-6.4116,-8.2207,-6.3466,-3.9347,0.1234,3.1387,3.4035,2.13,-0.1282,-0.418,-0.8611,1.6936,2.0212,3.8312,1.8262,-0.2669
geo020s08a0042v02,0.617477,0.746477,42,t>e,3,ejective,coronal,e,initial,s08,answer,echo,7.9463,7.3343,2.289,-5.0979,-4.1448,-4.0859,-5.3523,-6.1932,-7.4637,-10.2925,-13.8155,-10.6715,-7.5246,1.5602,11.7123,15.7256,19.8697,19.5638,19.8217,9.0548,-12.86,-25.4176,-8.7301,17.317,10.8643
geo020s08a0047v01,0.674809,0.803809,44,t>a,2,ejective,coronal,a,initial,s08,question,new,9.6053,20.7039,19.123,5.0461,-13.3774,-23.0745,-31.277,-27.73,-14.7284,1.4327,19.5225,22.6749,19.1304,11.1992,-9.1416,-10.8845,-12.3831,-2.278,-3.4004,-42.2328,-12.0615,11.3943,20.3675,18.891,16.0041
geo020s08a0047v02,0.722717,0.851717,45,t>a,2,ejective,coronal,a,initial,s08,answer,new,-2.6764,-8.6933,-14.7095,-21.0249,-22.0608,-20.8675,-17.4088,-12.1442,-1.5667,4.5881,10.8939,13.185,13.1317,12.6171,7.2985,3.3716,2.3788,3.4462,2.3138,0.8371,-3.1601,-7.4024,-9.025,-9.8456,-6.3358
geo020s08a0048v01,0.927499,1.056499,46,t>e,2,ejective,coronal,e,initial,s08,question,new,-4.9031,-3.861,-1.427,2.4603,1.1023,0.7271,-1.9044,-2.4921,-1.7085,-4.9365,-6.8892,-4.544,0.7291,7.2577,11.683,10.718,9.8793,4.468,-3.8517,-6.6115,-7.6573,-8.5188,-19.7641,-21.7239,-7.5939
geo020s08a0055v02,0.748466,0.877466,49,ko,3,pulmonic,velar,o,initial,s08,answer,new,3.7501,-15.648,-5.3806,-1.6278,-10.0024,-0.667,1.3564,-3.1381,-5.8625,-6.2094,-10.5918,-5.9743,-3.2359,7.3148,9.7069,12.7039,2.3382,16.2885,18.8822,18.2958,15.0964,7.9354,-19.2797,-29.0446,-23.3236
geo020s08a0056v01,0.712072,0.841072,50,ko,3,pulmonic,velar,o,initial,s08,question,new,12.7942,17.3163,12.8687,6.5562,-8.0767,-24.3403,-24.674,3.6398,26.5606,22.7865,5.8698,-9.1813,-94.2783,-25.05,3.4564,2.7524,-0.4624,20.9747,44.3259,42.6894,15.3069,8.2598,-2.4368,-14.4066,-22.0222
geo020s08a0056v02,0.64227,0.77127,51,ko,3,pulmonic,velar,o,initial,s08,answer,echo,3.7929,11.2703,9.0515,2.935,-7.9618,-16.5736,-10.5899,8.0479,17.403,16.7735,13.3148,3.964,-6.8748,-16.1278,-20.8546,-16.7373,-7.9224,3.1873,5.8834,2.3498,1.5448,-1.1405,-3.2989,-3.1332,-4.088
geo020s08a0057v01,0.810292,0.939292,52,p>a,2,ejective,labial,a,initial,s08,question,new,-4.5146,5.8177,11.7831,10.825,6.069,1.1129,-2.8947,-9.6851,-12.0386,-6.1183,0.5531,7.3296,11.3389,8.7688,4.6117,-0.1143,0.4384,-0.0366,2.0474,-6.9026,-22.9768,-28.7671,-6.5683,21.987,30.2528
geo020s08a0059v01,0.809141,0.938141,53,p>a,3,ejective,labial,a,initial,s08,question,new,-6.9414,-2.6264,6.7034,17.9587,28.3984,26.2776,18.538,10.3012,5.3408,6.7687,9.5312,12.7355,13.0974,9.7231,5.6669,4.9162,4.2255,-5.256,-14.3923,-1.1891,39.1875,54.8952,39.7138,10.6508,-20.2337
geo020s08a0061v02,0.81646,0.94546,57,t>a,3,ejective,coronal,a,initial,s08,answer,new,-22.8554,-9.5922,6.4812,15.4069,15.4561,9.31,5.3642,3.8083,5.2564,5.9436,3.3988,2.0601,-1.0243,-1.0433,0.4828,1.1721,1.5433,-0.2166,3.3901,4.8428,4.3023,-1.1142,-1.0909,-5.7375,-6.211
geo020s08a0062v01,0.869714,0.998714,58,t>a,3,ejective,coronal,a,initial,s08,question,new,-7.1211,-14.1611,-29.6711,-99.5179,-51.8054,-1.8634,51.7899,85.7576,85.9732,44.7829,9.11,-14.7019,-30.3027,-26.8376,-18.2182,-9.2059,-0.6581,1.9816,13.3667,14.3497,-7.5331,5.3781,20.2215,31.9203,34.4936
geo020s08a0062v02,0.674549,0.803549,59,t>a,3,ejective,coronal,a,initial,s08,answer,echo,-31.4535,-19.508,5.8733,30.2598,38.7459,39.7773,27.4849,10.3397,-12.5402,-20.2439,-26.699,-4.814,-5.9793,-1.785,1.2747,-0.0253,1.0652,5.4122,2.3196,13.0198,21.0998,22.8519,17.616,8.1665,-5.7936
geo020s08a0063v01,0.798236,0.927236,60,p>i,2,ejective,labial,i,initial,s08,question,new,-3.3376,-5.064,-14.9387,-17.3314,-1.9728,31.217,18.2009,47.9127,40.3553,14.7863,-13.2696,-28.8821,-26.6367,-6.3249,16.291,29.7097,23.5161,13.3737,-0.8617,-11.4272,-18.0193,-15.6296,-10.9146,-0.6957,4.8705
geo020s08a0064v01,0.70452,0.83352,61,p>a,3,ejective,labial,a,initial,s08,question,new,2.314,-3.3665,-6.7652,-6.9735,-3.9417,0.0605,0.823,2.929,3.5891,4.997,9.1815,7.8517,3.329,-3.1569,-7.0181,-9.1297,-6.8033,-2.5813,2.4269,6.9496,5.5116,3.3194,-0.4762,-4.5131,-6.2507
geo020s08a0064v02,0.66373,0.79273,62,p>a,3,ejective,labial,a,initial,s08,answer,echo,-1.8553,5.5508,10.9336,13.7026,11.8878,7.0872,2.9466,-1.7807,-4.9674,-3.1558,-0.8945,-0.1276,2.8358,0.111,-0.8421,1.243,2.0524,-1.0624,-6.5154,-8.254,-8.0066,-6.9438,-5.0691,-0.0319,1.8008
geo020s08a0065v01,0.850749,0.979749,63,k>a,2,ejective,velar,a,initial,s08,question,new,18.2692,18.6549,10.7748,2.7397,0.7913,-0.0865,0.1746,-2.3171,-15.5267,-20.2652,-21.5687,-17.2072,-12.193,-9.2705,-9.5123,-5.7984,-1.897,2.1282,7.9761,2.7214,-2.6232,-6.7736,-6.848,-4.0482,-2.8616
geo020s08a0067v01,0.879136,1.008136,64,k>e,3,ejective,velar,e,initial,s08,question,new,20.9289,15.0915,4.1578,-5.4244,-9.6059,-7.9503,-7.0969,-6.7431,-5.8449,-3.0182,-0.4871,-0.2825,2.7256,3.1352,5.8052,3.9836,1.2348,-31.0652,17.3803,28.7252,23.9959,16.9945,11.2176,5.4425,-2.051
geo020s08a0067v02,0.732478,0.861478,65,p>a,3,ejective,labial,a,initial,s08,answer,new,-9.3228,-8.8401,-3.7201,2.4321,6.8661,5.4118,-13.7933,-25.5069,-8.6099,27.2798,40.398,30.1935,10.9402,-9.2513,-24.106,-32.7698,-31.8101,-21.9812,-1.3661,16.9404,24.3964,20.3454,13.9625,9.8599,5.0902
geo020s08a0068v01,0.873685,1.002685,66,p>a,3,ejective,labial,a,initial,s08,question,new,4.0687,1.1182,-1.5807,3.9406,8.6174,3.4387,1.3714,-5.743,-14.3211,-22.9113,-17.0919,-1.89,19.9051,30.363,18.5689,-3.1967,-31.6854,-53.6639,-54.7418,-31.4427,11.766,55.0919,81.4646,80.2152,56.8285
geo020s08a0068v02,0.618354,0.747354,67,p>a,3,ejective,labial,a,initial,s08,answer,echo,47.0412,48.0418,28.95,4.099,-17.7391,-29.8829,-30.1335,-20.5527,-4.3091,3.9016,3.6992,2.5856,7.2056,11.9917,12.0919,9.5687,1.2936,-3.463,-7.9684,-9.2891,-11.3954,-9.8558,-7.5441,-6.8867,-3.2719
geo020s08a0069v02,0.734372,0.863372,68,p>a,2,ejective,labial,a,initial,s08,answer,new,16.2558,7.6833,-1.6164,-5.2709,-5.0152,-5.659,-8.3374,-11.7496,-12.0732,-10.581,-8.4333,-3.8642,0.6342,7.785,10.2165,9.0599,4.7797,2.1642,2.8765,2.9965,1.728,0.0238,0.658,-1.5438,-1.708
geo020s08a0070v01,0.723302,0.852302,69,p>a,2,ejective,labial,a,initial,s08,question,new,23.9742,3.6843,-17.6551,-27.9987,-23.9901,-7.5192,7.3671,17.9543,23.239,17.064,3.0754,-6.71,-7.5469,-6.3672,-3.8611,-2.9204,-2.9871,-1.2153,0.2139,6.4145,10.4951,11.7174,8.635,9.9849,3.6396
geo020s08a0070v02,0.521131,0.650131,70,p>a,2,ejective,labial,a,initial,s08,answer,echo,-9.7366,-11.1403,-11.9828,-7.382,-2.4718,4.429,0.9966,4.2918,4.3293,0.9927,-2.9698,-2.761,2.4498,9.9987,18.1239,10.3245,8.4326,-1.6556,-10.088,-30.2916,-25.9578,-6.4794,8.6743,8.4551,-1.8225
geo020s08a0071v01,0.856533,0.985533,71,k>e,2,ejective,velar,e,initial,s08,question,new,0.3239,35.2655,52.4174,48.511,32.9104,6.3289,-16.0314,-25.9025,-21.9677,-11.4469,-0.1334,3.7575,0.5367,2.1616,5.1633,9.6276,-63.727,16.8719,45.543,41.1763,19.7718,10.7287,-2.7845,5.9666,2.3036
geo020s08a0073v01,0.89382,1.02282,72,po,2,pulmonic,labial,o,initial,s08,question,new,-3.9026,-11.1772,-3.0064,1.9192,9.8946,14.5122,13.4832,8.1268,7.0789,5.8272,4.7944,-0.1917,-4.3837,-9.2723,-13.2714,-14.8345,-14.6766,-8.0353,-5.9978,-5.4778,-9.5206,-11.1432,-11.9337,-11.5299,-8.3602
geo020s08a0075v02,0.756992,0.885992,73,k>a,3,ejective,velar,a,initial,s08,answer,new,-15.0063,-13.1739,-3.8908,-4.5666,-3.4401,-2.4753,-3.0318,-0.7158,-0.532,2.1514,3.3987,7.8734,4.5004,-2.5327,-2.5663,-1.6193,-3.2349,-5.4903,-2.5953,-0.879,2.1287,4.3304,4.8245,6.6626,10.6426
geo020s08a0076v01,0.869516,0.998516,74,k>a,3,ejective,velar,a,initial,s08,question,new,-14.4157,-2.9506,18.6435,27.7903,25.4153,8.4742,-11.1787,-28.8545,-39.2671,-31.164,-5.7232,23.8376,39.2669,36.5297,15.5752,-9.4895,-25.8619,-30.5928,-20.8377,-2.7083,13.3686,22.5064,17.9089,8.855,0.1495
geo020s08a0076v02,0.629307,0.758307,75,k>a,3,ejective,velar,a,initial,s08,answer,echo,34.6199,22.5149,5.2046,-6.7632,-11.8032,-6.3092,4.0076,8.5394,7.7801,1.8526,3.7762,7.3275,14.368,10.3154,0.9187,-12.2377,-22.3506,-23.1106,-19.038,-10.4643,-1.8644,1.0175,-1.8661,2.935,9.0855
geo020s08a0077v02,0.682455,0.811455,76,k>a,3,ejective,velar,a,initial,s08,answer,new,-9.2323,-0.2223,8.5927,8.8752,13.947,-0.4825,14.8419,-0.271,8.517,-5.3936,-10.0854,-11.7098,-7.9262,-5.6487,-12.6823,-17.3945,-18.4617,-15.6597,-12.471,-5.5141,4.6288,18.1102,23.1514,28.347,27.1981
geo020s08a0078v01,0.835241,0.964241,77,k>a,3,ejective,velar,a,initial,s08,question,new,1.8925,-16.0445,-21.3594,-18.4921,-9.2218,2.7995,18.038,24.7915,21.1823,11.659,1.3014,-3.7826,-4.8212,-6.3194,-9.9694,-12.0911,-12.0246,-11.3459,-7.4817,-9.9557,-14.5563,-20.8601,-18.9435,-11.1273,-2.1938
geo020s08a0078v02,0.643635,0.772635,78,k>a,3,ejective,velar,a,initial,s08,answer,echo,-7.0303,-7.739,-1.3015,4.3309,6.7063,0.5568,-5.351,-11.1758,-15.699,-15.7477,-15.3644,-13.0191,-4.0783,4.1087,5.1935,3.9588,5.0876,4.0606,4.1536,6.1974,10.7324,13.2531,11.6971,12.2765,10.9059
geo020s08a0081v01,0.738477,0.867477,82,to,2,pulmonic,coronal,o,initial,s08,question,new,-24.7033,-13.5496,-2.9676,10.5557,20.7855,23.158,20.903,17.6401,14.1972,8.8692,5.3785,4.2485,8.6643,14.6959,23.3298,22.8394,23.0362,19.1611,6.1361,-8.715,-24.2019,-32.9109,-30.717,-21.3949,-11.3914
geo020s08a0081v02,0.756841,0.885841,83,p>a,3,ejective,labial,a,initial,s08,answer,new,-11.1339,-10.6483,7.2517,14.6249,7.909,9.4048,8.0596,5.6196,2.0212,-1.8178,-5.7944,-5.9719,-4.1111,-0.0308,3.8893,7.2819,11.3603,13.8143,14.1556,7.7628,1.7872,-5.9724,-11.7094,-12.3828,-12.6012
geo020s08a0082v01,0.672542,0.801542,84,p>a,3,ejective,labial,a,initial,s08,question,new,4.665,3.5063,-11.8328,-23.1583,-21.3886,7.178,19.5307,12.0808,1.6238,-5.8857,-17.2936,-23.8872,-21.0454,-13.2508,-4.2146,6.113,14.2046,12.7347,-74.4746,-10.9702,28.7677,34.6428,22.7295,11.4629,6.5228
geo020s08a0082v02,0.72473,0.85373,85,p>a,3,ejective,labial,a,initial,s08,answer,echo,-0.0288,-15.9212,-20.3439,-1.6084,23.9346,30.537,20.5645,5.003,-4.61,-8.0822,-11.794,-12.7317,-9.3403,-0.8708,10.7307,16.9804,10.2655,2.8709,-4.6148,-8.5731,-9.4636,-8.086,-6.2251,-0.8207,5.3049
geo020s08a0083v02,0.691826,0.820826,86,pa,2,pulmonic,labial,a,initial,s08,answer,new,8.0658,-1.6625,-10.1832,-13.6964,-15.5666,-16.5173,-12.6939,-5.4791,1.2445,10.1769,17.9717,21.9202,19.9844,16.9653,11.3225,5.5453,2.5655,-2.4545,-9.7553,-16.7058,-20.2771,-21.838,-18.0685,-14.2919,-10.8701
geo020s08a0084v01,0.680439,0.809439,87,pa,2,pulmonic,labial,a,initial,s08,question,new,-5.0274,-10.1972,-9.0405,-3.5011,-0.2785,1.6747,6.9446,9.2955,13.1121,11.7852,5.4265,-1.6268,-6.3308,-4.848,-5.2872,-3.2213,-1.9672,-1.7099,-2.7512,-3.107,-3.8398,-1.652,0.5113,-0.8949,-11.0964
geo020s08a0084v02,0.64328,0.77228,88,pa,2,pulmonic,labial,a,initial,s08,answer,echo,9.751,8.2943,5.9988,2.1745,-0.6052,-3.9228,-3.3091,-2.6684,-1.3593,1.3997,4.8112,11.672,19.5587,23.8322,24.0165,19.9798,7.5451,-6.0355,-15.8098,-19.5614,-21.8105,-19.0241,-11.6174,-5.936,-5.6695
geo020s08a0085v01,0.763955,0.892955,89,t>a,3,ejective,coronal,a,initial,s08,question,new,-1.7851,19.1039,26.1469,18.4871,8.4713,-4.1849,-16.2668,-29.0439,-31.5563,-11.7581,23.4095,49.8672,49.6182,17.7956,-20.4503,-45.3083,-45.9999,-30.7359,-105.257,-13.8017,23.1953,32.9821,26.4138,23.3182,16.2016
geo020s08a0085v02,0.750385,0.879385,90,pa,2,pulmonic,labial,a,initial,s08,answer,new,-46.8316,-39.9228,-14.9219,16.6273,50.1889,60.5455,41.5553,9.5615,-22.7798,-37.9018,-33.0067,-17.2306,-3.6735,1.3487,4.8468,5.8148,11.7911,15.5976,17.295,10.4327,1.2786,-4.4651,-7.4528,-7.2205,-5.4985
geo020s08a0086v01,0.604739,0.733739,91,pa,2,pulmonic,labial,a,initial,s08,question,new,-6.1047,-8.7754,-10.8887,-12.808,-12.352,-14.7737,-12.8294,-11.1259,-2.0117,4.821,5.9345,1.3529,13.1658,36.6796,50.342,34.9316,9.0217,-9.3469,-28.1349,-54.5255,-63.8119,-41.6803,-1.1835,38.2613,48.0784
geo020s08a0086v02,0.689932,0.818932,92,pa,2,pulmonic,labial,a,initial,s08,answer,echo,9.6994,9.9311,14.6401,11.2075,4.3725,-2.0449,-7.4033,-7.9063,-6.1977,-0.0454,9.8162,13.1076,10.654,6.8942,-0.9515,-6.0992,-6.8437,-3.6815,-1.1293,-2.6676,-4.046,-1.526,0.4488,1.6263,-1.243
geo020s08a0087v01,0.947635,1.076635,93,p>a,3,ejective,labial,a,initial,s08,question,new,12.413,10.9085,7.1755,-0.7431,-6.8436,-11.942,-12.8457,-7.2286,-2.0522,3.8827,5.1066,6.2665,3.3024,1.6649,1.5917,0.8662,-2.5524,-3.1869,-4.9345,-6.398,-5.1661,-2.5339,1.3058,0.9053,3.8974
geo020s08a0089v01,1.105101,1.234101,97,p>e,2,ejective,labial,e,initial,s08,question,new,-27.516,-19.2968,-15.6849,-16.2998,-7.9319,3.8525,18.1985,24.6913,22.2563,15.1916,5.6718,3.8243,9.9111,13.3509,15.3632,19.8354,21.07,8.4515,0.5779,10.4753,18.3157,13.76,-0.0961,-12.4475,-31.8696
