#file onset_f offset_f onset_v offset_v item sequence syllables type place vowel position speaker question new bad_vot constriction vowelduration check_vowel good_vot 
geo020s08a0026v01 0.969822 1.098822 0.916298 1.095098 2_6851 t>u 3 ejective coronal u medial s08 question new 40.79 76.86 101.94 u 14.73 
geo020s08a0026v02 0.684933 0.813933 0.636557 0.802854 1_7480 t>i 3 ejective coronal i initial s08 answer echo 54.73 71.80 94.50 i 39.46 
geo020s08a0026v02 0.874008 1.003008 0.802854 1.004488 2_581 t>u 3 ejective coronal u medial s08 answer echo 44.16 93.46 108.17 u 24.19 
geo020s08a0027v01 0.802510 0.931510 0.752472 0.951826 1_3681 k>e 2 ejective velar e initial s08 question new 54.47 72.28 127.08 e 18.11 
geo020s08a0029v02 0.794526 0.923526 0.726294 0.909005 1_2420 p>i 3 ejective labial i initial s08 answer new 20.26 90.45 92.26 i 12.40 
geo020s08a0029v02 1.144942 1.273942 1.090760 1.249849 3_9541 t>i 3 ejective coronal i medial s08 answer new 33.28 74.18 84.91 i 23.04 
geo020s08a0030v02 0.824034 0.953034 0.763475 0.927351 1_6231 p>i 3 ejective labial i initial s08 answer echo 26.36 82.40 81.48 i 14.00 
geo020s08a0030v02 1.152343 1.281343 1.093722 1.289407 3_6428 t>i 3 ejective coronal i medial s08 answer echo 39.65 85.21 110.48 i 23.30 
geo020s08a0033v02 0.734091 0.863091 0.693534 0.896089 1_2282 k>a 3 ejective velar a initial s08 answer new 73.38 60.56 142.00 a 56.14 
geo020s08a0033v02 0.939658 1.068658 0.896089 1.079964 2_4632 k>a 3 ejective velar a medial s08 answer new 88.03 65.29 118.59 a 66.32 
geo020s08a0034v01 0.424870 0.553870 0.375953 0.558510 1_5740 k>a 3 ejective velar a initial s08 question new 55.99 81.52 101.03 a -2.41 
geo020s08a0034v01 0.599641 0.728641 0.558510 0.719019 2_3889 k>a 3 ejective velar a medial s08 question new 44.72 96.39 64.11 a -8.35 
geo020s08a0034v02 0.596411 0.725411 0.555153 0.741413 1_1267 k>a 3 ejective velar a initial s08 answer echo 51.81 65.44 120.82 a 33.68 
geo020s08a0034v02 0.779567 0.908567 0.741413 0.913346 2_8034 k>a 3 ejective velar a medial s08 answer echo 33.76 61.05 110.89 a 21.11 
geo020s08a0035v01 1.038597 1.167597 0.975675 1.186957 2_2601 t>a 3 ejective coronal a medial s08 question new 65.20 84.50 126.78 a 26.98 
geo020s08a0039v01 0.748360 0.877360 0.703229 0.899037 1_1851 k>a 3 ejective velar a initial s08 question new 28.31 67.33 128.48 a 15.31 
geo020s08a0039v01 0.938503 1.067503 0.899037 1.099197 2_7992 k>a 3 ejective velar a medial s08 question new 46.04 60.96 139.20 a 13.75 
geo020s08a0041v02 0.737250 0.866250 0.687789 0.920128 1_7161 t>e 3 ejective coronal e initial s08 answer new 53.01 72.94 159.40 e 33.84 
geo020s08a0042v01 0.942410 1.071410 0.883081 1.101890 1_6611 t>e 3 ejective coronal e initial s08 question new 44.60 81.37 137.43 e 17.13 
geo020s08a0042v02 0.617477 0.746477 0.574912 0.776615 1_638 t>e 3 ejective coronal e initial s08 answer echo 46.40 66.71 134.99 e 12.81 
geo020s08a0045v01 1.049929 1.178929 0.990282 1.209971 2_3245 p>i 2 ejective labial i medial s08 question new 140.04 81.29 138.40  -417.14 
geo020s08a0047v01 0.674809 0.803809 0.619789 0.787818 1_460 t>a 2 ejective coronal a initial s08 question new 52.80 77.44 90.59 a 9.87 
geo020s08a0047v02 0.722717 0.851717 0.665651 0.861383 1_3734 t>a 2 ejective coronal a initial s08 answer new 53.40 80.03 115.70 w -38.58 
geo020s08a0048v01 0.927499 1.056499 0.839165 1.065137 1_1296 t>e 2 ejective coronal e initial s08 question new 65.16 111.79 114.18 e 30.79 
geo020s08a0055v02 0.748466 0.877466 0.709788 0.907748 1_2443 ko 3 pulmonic velar o initial s08 answer new 65.16 58.68 139.28 o 73.67 
geo020s08a0056v01 0.712072 0.841072 0.656671 0.873584 1_1237 ko 3 pulmonic velar o initial s08 question new 65.16 75.40 141.51 o 84.91 
geo020s08a0056v02 0.642270 0.771270 0.608728 0.808258 1_1770 ko 3 pulmonic velar o initial s08 answer echo 65.16 53.54 145.99 o 93.01 
geo020s08a0057v01 0.810292 0.939292 0.774185 0.979869 1_6458 p>a 2 ejective labial a initial s08 question new 79.62 56.88 148.81 a 74.78 
geo020s08a0057v01 1.065871 1.194871 0.979869 1.201915 2_496 pi 2 pulmonic labial i medial s08 question new 79.62 106.00 116.04  -180.03 
geo020s08a0059v01 0.809141 0.938141 0.746690 0.952843 1_7 p>a 3 ejective labial a initial s08 question new 46.65 83.99 122.16 a 16.57 
geo020s08a0059v01 1.007843 1.136843 0.952843 1.174680 2_6241 t>a 3 ejective coronal a medial s08 question new 32.77 77.94 143.90 a 12.83 
geo020s08a0059v02 1.316212 1.445212 1.222808 1.473528 3_9899 t>i 3 ejective coronal i medial s08 answer new 52.98 113.40 137.32 i 28.85 
geo020s08a0060v01 1.190669 1.319669 1.153380 1.296621 3_5542 t>i 3 ejective coronal i medial s08 question new 85.95 57.29 85.95  154.39 
geo020s08a0060v02 1.247060 1.376060 1.191087 1.378416 3_7011 t>i 3 ejective coronal i medial s08 answer echo 22.42 76.97 110.36 i 15.56 
geo020s08a0061v02 0.816460 0.945460 0.775477 0.974481 1_7506 t>a 3 ejective coronal a initial s08 answer new 81.88 63.22 135.79 a 59.08 
geo020s08a0061v02 1.207133 1.336133 1.157097 1.356101 3_45 k>a 3 ejective velar a medial s08 answer new 61.78 74.38 124.62 a 21.35 
geo020s08a0062v01 0.869714 0.998714 0.814366 1.001014 1_822 t>a 3 ejective coronal a initial s08 question new 31.41 78.14 108.51 a 11.75 
geo020s08a0062v01 1.176428 1.305428 1.144255 1.294008 3_8201 k>a 3 ejective velar a medial s08 question new 97.58 54.11 95.65  -294.11 
geo020s08a0062v02 0.674549 0.803549 0.629381 0.807296 1_3805 t>a 3 ejective coronal a initial s08 answer echo 58.89 66.50 111.42 a 43.09 
geo020s08a0062v02 1.004673 1.133673 0.958318 1.127958 3_1347 k>a 3 ejective velar a medial s08 answer echo 33.60 69.01 100.63 a 21.27 
geo020s08a0063v01 0.798236 0.927236 0.719554 0.964005 1_1765 p>i 2 ejective labial i initial s08 question new 42.97 100.51 143.94 i 26.72 
geo020s08a0064v02 0.663730 0.792730 0.602567 0.805867 1_3387 p>a 3 ejective labial a initial s08 answer echo 47.85 82.96 120.34 a 36.81 
geo020s08a0064v02 1.078292 1.207292 1.015334 1.209162 3_8491 t>i 3 ejective coronal i medial s08 answer echo 31.17 85.50 108.33 i 21.29 
geo020s08a0065v01 0.850749 0.979749 0.797459 0.993542 1_757 k>a 2 ejective velar a initial s08 question new 71.51 75.12 120.96 a 26.70 
geo020s08a0065v01 1.058013 1.187013 0.993542 1.193841 2_4768 t>a 2 ejective coronal a medial s08 question new 115.83 84.47 115.83 a 11.12 
geo020s08a0067v01 0.879136 1.008136 0.833092 1.008616 1_9391 k>e 3 ejective velar e initial s08 question new 52.12 67.57 107.95 e 31.35 
geo020s08a0067v02 0.732478 0.861478 0.669085 0.866517 1_9558 p>a 3 ejective labial a initial s08 answer new 31.01 85.24 112.19 a 22.44 
geo020s08a0068v01 0.873685 1.002685 0.814684 1.007574 1_4170 p>a 3 ejective labial a initial s08 question new 45.30 81.11 111.78 a 15.61 
geo020s08a0068v02 0.618354 0.747354 0.573515 0.763737 1_3453 p>a 3 ejective labial a initial s08 answer echo 37.61 66.83 123.39 a 9.50 
geo020s08a0069v02 0.734372 0.863372 0.667648 0.897114 1_9551 p>a 2 ejective labial a initial s08 answer new 70.06 87.77 141.70 a 51.16 
geo020s08a0070v01 0.723302 0.852302 0.663168 0.865928 1_1441 p>a 2 ejective labial a initial s08 question new 52.22 82.46 120.30 a 12.73 
geo020s08a0070v02 0.521131 0.650131 0.464491 0.650079 1_6075 p>a 2 ejective labial a initial s08 answer echo 31.38 78.82 106.77 a 12.82 
geo020s08a0071v01 0.856533 0.985533 0.801090 0.993317 1_9438 k>e 2 ejective velar e initial s08 question new 56.80 75.44 116.78 e 38.14 
geo020s08a0073v01 0.893820 1.022820 0.816299 1.053079 1_1983 po 2 pulmonic labial o initial s08 question new 56.80 97.52 139.26 o 76.45 
geo020s08a0075v02 0.756992 0.885992 0.714341 0.885384 1_6272 k>a 3 ejective velar a initial s08 answer new 63.65 62.65 108.39 a 20.19 
geo020s08a0075v02 0.947933 1.076933 0.885384 1.058709 2_5468 p>e 3 ejective labial e medial s08 answer new 61.74 83.91 89.42 e 12.34 
geo020s08a0076v01 0.869516 0.998516 0.818074 0.997540 1_1240 k>a 3 ejective velar a initial s08 question new 36.58 73.12 106.35 a 21.75 
geo020s08a0076v01 1.057003 1.186003 0.997540 1.154754 2_3308 p>e 3 ejective labial e medial s08 question new 208.57 79.46 77.75 e 9.10 
geo020s08a0076v02 0.629307 0.758307 0.602215 0.757786 1_2218 k>a 3 ejective velar a initial s08 answer echo 39.57 48.55 107.02 a 31.26 
geo020s08a0076v02 0.812667 0.941667 0.757786 0.924796 2_8008 p>e 3 ejective labial e medial s08 answer echo 16.87 76.48 90.53 e 7.34 
geo020s08a0077v02 0.682455 0.811455 0.652564 0.823924 1_3453 k>a 3 ejective velar a initial s08 answer new 45.87 52.19 119.17 a 12.69 
geo020s08a0078v01 0.835241 0.964241 0.793551 0.966477 1_3135 k>a 3 ejective velar a initial s08 question new 55.57 64.63 108.29 a 18.61 
geo020s08a0078v02 0.643635 0.772635 0.594495 0.780405 1_9400 k>a 3 ejective velar a initial s08 answer echo 116.77 71.23 114.68 a 21.27 
geo020s08a0080v02 0.920975 1.049975 0.852860 1.009989 2_651 p>i 3 ejective labial i medial s08 answer echo 25.21 88.94 68.19 i 11.20 
geo020s08a0080v02 1.072080 1.201080 1.009989 1.190795 3_9602 t>o 3 ejective coronal o medial s08 answer echo 19.88 84.15 96.66 o 10.11 
geo020s08a0081v02 0.756841 0.885841 0.713665 0.892535 1_6760 p>a 3 ejective labial a initial s08 answer new 36.80 65.52 113.35 a 11.65 
geo020s08a0081v02 0.942463 1.071463 0.892535 1.086900 2_3497 t>e 3 ejective coronal e medial s08 answer new 68.87 73.37 120.99 e 54.05 
geo020s08a0082v01 0.672542 0.801542 0.624177 0.806174 1_3161 p>a 3 ejective labial a initial s08 question new 42.29 70.20 111.80 a 22.98 
geo020s08a0082v01 0.852114 0.981114 0.806174 0.982048 2_6897 t>e 3 ejective coronal e medial s08 question new 43.91 68.21 107.67 e 14.69 
geo020s08a0082v02 0.724730 0.853730 0.695336 0.862648 1_8737 p>a 3 ejective labial a initial s08 answer echo 47.56 52.21 115.10 a 21.49 
geo020s08a0082v02 0.911871 1.040871 0.862648 1.048580 2_2186 t>e 3 ejective coronal e medial s08 answer echo 46.52 70.89 115.05 e 33.96 
geo020s08a0083v02 0.691826 0.820826 0.626276 0.850672 1_7275 pa 2 pulmonic labial a initial s08 answer new 46.52 85.55 138.85 a 99.04 
geo020s08a0083v02 0.922565 1.051565 0.850672 1.097737 2_7772 pa 2 pulmonic labial a medial s08 answer new 46.52 91.89 155.17 a 74.59 
geo020s08a0084v02 0.643280 0.772280 0.586568 0.790786 1_3365 pa 2 pulmonic labial a initial s08 answer echo 46.52 76.71 127.51 a 63.55 
geo020s08a0084v02 0.862120 0.991120 0.790786 1.022084 2_7840 pa 2 pulmonic labial a medial s08 answer echo 46.52 91.33 139.96 a 76.05 
geo020s08a0085v01 0.763955 0.892955 0.714779 0.952105 1_5263 t>a 3 ejective coronal a initial s08 question new 69.24 71.40 165.93 a 37.56 
geo020s08a0085v02 0.750385 0.879385 0.693574 0.909904 1_4170 pa 2 pulmonic labial a initial s08 answer new 69.24 76.81 139.52 a 76.82 
geo020s08a0085v02 0.980614 1.109614 0.909904 1.164040 2_9880 pa 2 pulmonic labial a medial s08 answer new 69.24 90.71 163.43 a 66.39 
geo020s08a0086v02 0.689932 0.818932 0.617647 0.844152 1_7303 pa 2 pulmonic labial a initial s08 answer echo 69.24 92.28 134.22 a 62.28 
geo020s08a0086v02 0.909375 1.038375 0.844152 1.060267 2_505 pa 2 pulmonic labial a medial s08 answer echo 69.24 85.22 130.89 a 61.71 
geo020s08a0087v02 1.104247 1.233247 1.049204 1.252008 2_5828 t>i 3 ejective coronal i medial s08 answer new 59.17 78.84 123.97 i 23.83 
geo020s08a0088v01 0.979693 1.108693 0.943406 1.089612 2_3599 t>i 3 ejective coronal i medial s08 question new 31.17 59.30 86.91 i 16.87 
geo020s08a0088v02 0.868728 0.997728 0.814147 0.999756 2_1653 t>i 3 ejective coronal i medial s08 answer echo 55.19 77.71 107.90 i 20.30 
geo020s08a0089v01 1.105101 1.234101 1.050552 1.251009 1_7815 p>e 2 ejective labial e initial s08 question new 51.73 74.55 125.91 e 34.65 
geo020s08a0093v01 0.800981 0.929981 0.759151 0.941954 1_1088 k>a 3 ejective velar a initial s08 question new 41.02 63.54 119.26 a 26.01 
geo020s08a0095v02 0.631111 0.760111 0.588894 0.799640 1_6185 t>a 2 ejective coronal a initial s08 answer new 78.82 64.19 146.56 a 51.22 
geo020s08a0096v01 0.739458 0.868458 0.688429 0.861968 1_9083 t>a 2 ejective coronal a initial s08 question new 51.60 72.65 100.89 a 12.99 
geo020s08a0096v02 0.721353 0.850353 0.679400 0.863584 1_4974 t>a 2 ejective coronal a initial s08 answer echo 67.51 65.05 119.13 a 22.40 
geo020s08a0097v01 0.792201 0.921201 0.730004 0.916353 1_8547 p>e 3 ejective labial e initial s08 question new 33.46 83.59 102.76 e 25.99 
geo020s08a0097v02 0.605589 0.734589 0.559913 0.767884 1_5844 p>a 3 ejective labial a initial s08 answer new 66.51 68.01 139.96 a 48.70 
geo020s08a0097v02 0.934198 1.063198 0.903064 1.098557 3_3598 k>a 3 ejective velar a medial s08 answer new 43.78 69.41 126.08 a 15.50 
geo020s08a0098v02 0.653803 0.782803 0.604954 0.806280 1_8675 p>a 3 ejective labial a initial s08 answer echo 67.77 71.86 129.47 a 56.64 
geo020s08a0098v02 0.965063 1.094063 0.928659 1.108333 3_3069 k>a 3 ejective velar a medial s08 answer echo 37.30 71.19 108.49 a 20.05 
geo020s08a0099v01 0.970762 1.099762 0.882966 1.169933 1_1950 pu 2 pulmonic labial u initial s08 question new 37.30 107.80 179.17 u 108.20 
geo020s08a0101v02 0.735310 0.864310 0.696843 0.872361 1_3239 k>e 2 ejective velar e initial s08 answer new 44.99 58.47 117.05 e 21.13 
geo020s08a0102v01 0.876868 1.005868 0.825507 1.002482 1_6069 k>e 2 ejective velar e initial s08 question new 35.06 73.96 103.02 e 16.15 
geo020s08a0102v02 0.749732 0.878732 0.695552 0.893486 1_1404 k>e 2 ejective velar e initial s08 answer echo 83.02 75.77 122.16 e 63.98 
geo020s08a0105v02 0.943856 1.072856 0.894013 1.144891 1_8616 te 3 pulmonic coronal e initial s08 answer new 83.02 69.84 181.04 e 104.25 
geo020s08a0106v01 0.796131 0.925131 0.743085 0.973033 1_5493 te 3 pulmonic coronal e initial s08 question new 83.02 73.05 156.90 e 88.83 
geo020s08a0106v02 0.615761 0.744761 0.566831 0.797397 1_6536 te 3 pulmonic coronal e initial s08 answer echo 83.02 68.93 161.64 e 93.19 
geo020s08a0107v01 0.793341 0.922341 0.751399 0.945250 1_5868 p>a 2 ejective labial a initial s08 question new 69.60 65.20 128.65 a 20.32 
geo020s08a0107v01 1.008057 1.137057 0.945250 1.176979 2_8021 p>a 2 ejective labial a medial s08 question new 148.92 85.31 146.42 a 46.19 
geo020s08a0108v01 0.911143 1.040143 0.868199 1.047360 1_1881 t>i 2 ejective coronal i initial s08 question new 63.32 65.29 113.87 i 19.56 
geo020s08a0108v02 0.766291 0.895291 0.705349 0.924095 1_7565 t>i 2 ejective coronal i initial s08 answer echo 73.23 84.21 134.53 i 27.02 
geo020s08a0111v02 0.760477 0.889477 0.701762 0.975322 1_1118 t>a 2 ejective coronal a initial s08 answer new 82.88 83.83 189.73 a 57.31 
geo020s08a0112v01 0.911825 1.040825 0.857607 1.087190 1_8547 t>a 2 ejective coronal a initial s08 question new 58.39 77.22 152.36 a 17.61 
geo020s08a0112v02 0.677604 0.806604 0.627992 0.876376 1_6238 t>a 2 ejective coronal a initial s08 answer echo 78.97 71.47 176.91 a 56.64 
geo020s08a0113v01 0.971005 1.100005 0.908157 1.077332 1_2207 p>i 3 ejective labial i initial s08 question new 34.80 86.01 83.16 i 28.50 
geo020s08a0115v02 0.703003 0.832003 0.652687 0.853904 1_1093 p>a 3 ejective labial a initial s08 answer new 55.32 73.33 127.89 a 35.29 
geo020s08a0116v01 0.822226 0.951226 0.782357 0.957425 1_5165 p>a 3 ejective labial a initial s08 question new 32.08 59.87 115.20 a 23.41 
geo020s08a0116v02 0.694688 0.823688 0.651338 0.837602 1_5749 p>a 3 ejective labial a initial s08 answer echo 53.64 63.35 122.91 a 44.85 
geo020s08a0118v02 0.913639 1.042639 0.868953 1.039458 2_7323 k>i 2 ejective velar i medial s08 answer echo 46.87 64.69 105.82 i 35.05 
geo020s08a0119v01 0.945455 1.074455 0.898461 1.140734 1_3997 p>a 3 ejective labial a initial s08 question new 64.34 69.71 172.56 a 39.59 
geo020s08a0121v01 0.910726 1.039726 0.859546 1.099132 1_1350 t>a 2 ejective coronal a initial s08 question new 70.79 74.32 165.27 a 19.91 
geo020s08a0125v02 1.003202 1.132202 0.927689 1.158929 2_1287 pa 2 pulmonic labial a medial s08 answer new 70.79 95.51 135.73 a 7.69 
geo020s08a0127v01 0.835372 0.964372 0.770486 0.994207 1_2540 po 2 pulmonic labial o initial s08 question new 70.79 84.89 138.83 o 70.15 
geo020s08a0127v01 1.045493 1.174493 0.994207 1.173183 2_7143 t>o 2 ejective coronal o medial s08 question new 107.69 73.46 105.52 o 17.36 
geo020s08a0127v02 0.593643 0.722643 0.554576 0.748508 1_5041 p>a 3 ejective labial a initial s08 answer new 60.93 60.16 133.77 a 49.45 
geo020s08a0127v02 0.788617 0.917617 0.748508 0.965883 2_3925 t>a 3 ejective coronal a medial s08 answer new 61.38 62.88 154.50 a 43.21 
geo020s08a0128v01 0.710235 0.839235 0.678740 0.848858 1_5757 p>a 3 ejective labial a initial s08 question new 35.63 53.09 117.03 a 27.91 
geo020s08a0128v01 0.889091 1.018091 0.848858 1.027929 2_797 t>a 3 ejective coronal a medial s08 question new 34.16 61.91 117.16 a 16.63 
geo020s08a0128v02 0.735396 0.864396 0.702673 0.874722 1_279 p>a 3 ejective labial a initial s08 answer echo 24.77 55.30 116.75 a 18.33 
geo020s08a0128v02 0.912695 1.041695 0.874722 1.072345 2_6315 t>a 3 ejective coronal a medial s08 answer echo 57.65 59.82 137.80 a 47.60 
geo020s08a0129v01 1.108793 1.237793 1.060093 1.264336 1_9340 t>a 3 ejective coronal a initial s08 question new 45.45 71.76 132.49 a 17.56 
geo020s08a0133v01 0.854538 0.983538 0.795091 1.001877 1_2138 p>a 2 ejective labial a initial s08 question new 72.00 82.13 124.65 a 18.41 
geo020s08a0135v02 0.722043 0.851043 0.676553 0.898096 1_3984 ke 2 pulmonic velar e initial s08 answer new 72.00 65.49 156.05 e 93.61 
geo020s08a0136v01 0.788193 0.917193 0.730107 0.952324 1_8412 ke 2 pulmonic velar e initial s08 question new 72.00 78.09 144.13 e 85.85 
geo020s08a0136v02 0.761612 0.890612 0.724909 0.940969 1_8522 ke 2 pulmonic velar e initial s08 answer echo 72.00 56.70 159.36 e 95.71 
geo020s08a0139v01 0.911810 1.040810 0.831256 1.062159 1_8896 t>e 2 ejective coronal e initial s08 question new 66.93 104.01 126.89 e 31.48 
geo020s08a0141v01 0.803768 0.932768 0.755768 0.961358 1_4167 pa 2 pulmonic labial a initial s08 question new 66.93 68.00 137.59 a 65.45 
geo020s08a0141v02 0.702040 0.831040 0.672071 0.845729 1_3967 k>a 2 ejective velar a initial s08 answer new 62.35 51.92 121.74 a 54.26 
geo020s08a0142v01 0.859975 0.988975 0.831988 0.984848 1_3254 k>a 2 ejective velar a initial s08 question new 48.88 49.70 103.16 a 19.82 
geo020s08a0142v02 0.724438 0.853438 0.699870 0.866682 1_9212 k>a 2 ejective velar a initial s08 answer echo 43.67 47.69 119.12 a 26.20 
geo020s08a0143v02 0.750075 0.879075 0.714437 0.936686 1_8309 k>a 3 ejective velar a initial s08 answer new 62.34 58.23 164.02 a 17.51 
geo020s08a0144v01 0.773341 0.902341 0.723942 0.938617 1_2602 k>a 3 ejective velar a initial s08 question new 63.43 71.00 143.67 a 52.23 
geo020s08a0144v02 0.671672 0.800672 0.644239 0.830927 1_880 k>a 3 ejective velar a initial s08 answer echo 52.37 50.92 135.76 a 16.17 
geo020s08a0145v01 1.046851 1.175851 0.988001 1.160535 2_1800 t>i 3 ejective coronal i medial s08 question new 19.90 94.82 77.72 i -1.89 
geo020s08a0145v01 1.160339 1.289339 1.160535 1.335606 3_3838 k>a 3 ejective velar a medial s08 question new 79.29 63.47 111.60 a 17.26 
geo020s08a0145v02 1.084034 1.213034 1.031884 1.246383 2_670 k>a 2 ejective velar a medial s08 answer new 35.30 73.75 140.74 a 24.94 
geo020s08a0146v02 1.005386 1.134386 0.971915 1.182750 2_5537 k>a 2 ejective velar a medial s08 answer echo 58.36 55.54 155.29 a 21.87 
geo020s08a0148v01 0.828741 0.957741 0.775695 0.948630 1_2000 t>e 2 ejective coronal e initial s08 question new 99.89 75.63 97.30 e 15.65 
geo020s08a0148v02 0.720637 0.849637 0.670144 0.850289 1_9981 t>e 2 ejective coronal e initial s08 answer echo 109.65 75.38 104.76 e 44.58 
geo020s08a0149v01 0.893297 1.022297 0.832196 1.076016 1_8240 t>a 2 ejective coronal a initial s08 question new 49.24 84.75 159.07 a 14.72 
geo020s08a0153v02 0.738249 0.867249 0.703959 0.901628 1_8546 k>a 3 ejective velar a initial s08 answer new 80.22 55.77 141.90 a 59.24 
geo020s08a0153v02 0.955136 1.084136 0.901628 1.127705 2_2899 k>a 3 ejective velar a medial s08 answer new 68.91 74.35 151.72 a 47.44 
geo020s08a0154v01 0.734930 0.863930 0.706166 0.875638 1_6178 k>a 3 ejective velar a initial s08 question new 42.47 48.76 120.71 a 22.43 
geo020s08a0154v01 0.915219 1.044219 0.875638 1.045225 2_3851 k>a 3 ejective velar a medial s08 question new 40.91 60.21 109.37 a 30.29 
geo020s08a0154v02 0.669267 0.798267 0.637109 0.827015 1_4719 k>a 3 ejective velar a initial s08 answer echo 76.00 53.93 135.97 a 58.75 
geo020s08a0154v02 0.874161 1.003161 0.827015 1.021238 2_5760 k>a 3 ejective velar a medial s08 answer echo 58.11 68.11 126.11 a 32.57 
geo020s08a0155v02 0.719584 0.848584 0.682136 0.870754 1_9461 k>a 3 ejective velar a initial s08 answer new 76.54 59.21 129.41 a 47.74 
geo020s08a0156v01 0.852039 0.981039 0.805313 0.995239 1_1873 k>a 3 ejective velar a initial s08 question new 59.32 67.79 122.13 a 26.18 
geo020s08a0156v02 0.641276 0.770276 0.608070 0.757918 1_4709 k>a 3 ejective velar a initial s08 answer echo 33.07 55.45 94.40 a 27.36 
geo020s08a0157v01 0.600050 0.729050 0.535545 0.752339 1_400 po 3 pulmonic labial o initial s08 question new 33.07 84.50 132.29 o 66.94 
