position_2	position_1	by	score	n
medial	initial	('labial', 'ejective', 'question', 's09', 'i')	0.666666666667	60
initial	medial	('labial', 'ejective', 'answer', 's09', 'i')	0.5	18
medial	initial	('labial', 'ejective', 'answer', 's09', 'i')	1.0	18
initial	medial	('labial', 'ejective', 'question', 's08', 'a')	1.0	50
medial	initial	('labial', 'ejective', 'question', 's08', 'a')	0.959166666667	1200
initial	medial	('coronal', 'ejective', 'answer', 's08', 'o')	1.0	4
medial	initial	('coronal', 'ejective', 'answer', 's08', 'o')	1.0	4
initial	medial	('coronal', 'ejective', 'question', 's09', 'a')	0.405555555556	360
medial	initial	('coronal', 'ejective', 'question', 's09', 'a')	0.689393939394	792
initial	medial	('labial', 'ejective', 'answer', 's08', 'a')	1.0	42
medial	initial	('labial', 'ejective', 'answer', 's08', 'a')	0.970238095238	840
initial	medial	('coronal', 'ejective', 'answer', 's09', 'a')	0.46	300
medial	initial	('coronal', 'ejective', 'answer', 's09', 'a')	0.798148148148	540
medial	initial	('velar', 'ejective', 'question', 's08', 'e')	0.458333333333	72
